thread_id	previous_evidence_commit	evidence_commit	verified_at	refresh_note
PRRT_kwDOR3YK5M6XgcYX	ba9456059bb308b499b8940148d78b806adf67fc	292c0318de096554d204725077710d177a3196f2	2026-08-28T02:33:22Z	multi-pass and MSAA queue changes retain relocation, completion, retention, and arming preparation before deferred target writes; the byte-identical 4420389af742 source tree passed the public-surface and submit-order matrix
PRRT_kwDOR3YK5M6Xglay	ba9456059bb308b499b8940148d78b806adf67fc	292c0318de096554d204725077710d177a3196f2	2026-08-28T02:33:22Z	the bounded draw list allocates and releases every recorded carrier through cmd_buffer->vk.pool->alloc; the byte-identical 4420389af742 source tree passed the public-surface harness
PRRT_kwDOR3YK5M6YiMuz	ba9456059bb308b499b8940148d78b806adf67fc	292c0318de096554d204725077710d177a3196f2	2026-08-28T02:33:22Z	the native README remains free of the retired hybrid-compute opt-in; only retained review evidence and its rename allowlist still name the compatibility input
PRRT_kwDOR3YK5M6ZIGc4	ba9456059bb308b499b8940148d78b806adf67fc	292c0318de096554d204725077710d177a3196f2	2026-08-28T02:33:22Z	the route resolver and calibration retain WINDOW coordinates for immediate and fetched GPU producers and CLIP coordinates for host routes; the byte-identical 4420389af742 source tree passed the route and producer tests
PRRT_kwDOR3YK5M6ZIX17	ba9456059bb308b499b8940148d78b806adf67fc	292c0318de096554d204725077710d177a3196f2	2026-08-28T02:33:22Z	the verified-holder policy remains SPDX-only for new generated files, and the producer header plus its generator retain SPDX-only headers
PRRT_kwDOR3YK5M6WhUFW	ba9456059bb308b499b8940148d78b806adf67fc	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	2026-08-28T03:10:18Z	PR 1963 retains inherited locator validation and anchor reconstruction while distinguishing valid tokens for another selected device; the affected DRM-shim set passed 14 of 14 tests
PRRT_kwDOR3YK5M6XRpjE	ba9456059bb308b499b8940148d78b806adf67fc	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	2026-08-28T03:10:18Z	PR 1963 retains the readable witness for write-only state-token locators while the complete token validator preserves malformed-input rejection; the affected DRM-shim set passed 14 of 14 tests
PRRT_kwDOR3YK5M6XgcYX	292c0318de096554d204725077710d177a3196f2	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	2026-08-28T03:10:18Z	PR 1964 extends the public-surface harness with two-pass stream reproduction while retaining the pre-write refusal and deferred execution assertions; the r3v and r300 suites reported 334 passes, 39 expected failures, and 24 skips
PRRT_kwDOR3YK5M6ZIGc4	292c0318de096554d204725077710d177a3196f2	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	2026-08-28T03:10:18Z	PR 1964 extends native-cell recording with the two-pass binding while the route resolver still selects WINDOW for GPU producers and CLIP for host delivery; the r3v and r300 suites reported 334 passes, 39 expected failures, and 24 skips
PRRT_kwDOR3YK5M6XgcYX	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	1cf2ae9c66feb5ac5e616810b17a7b541905e377	2026-08-28T04:40:01Z	Deferred submission still completes every fallible preparation step before mutating the target resource
PRRT_kwDOR3YK5M6XgcYX	1cf2ae9c66feb5ac5e616810b17a7b541905e377	af766adab77452239b29918eb26f033c0f00b313	2026-08-28T05:26:35Z	PR 1973 expands deferred clip-space carrier preparation while queue submission still completes every fallible preparation step before executing deferred target writes; the exact implementation SHA passed the 258-test selected matrix with zero failures
PRRT_kwDOR3YK5M6Xglay	292c0318de096554d204725077710d177a3196f2	af766adab77452239b29918eb26f033c0f00b313	2026-08-28T05:26:35Z	record_draw enlarges the carrier for fixed clipping capacity while retaining vk_zalloc and every failure-path vk_free on the command-pool allocator; the exact implementation SHA passed the public-surface matrix
PRRT_kwDOR3YK5M6ZIGc4	9e7339cbd3e966ceaf2075f1894010b5897f5fc8	af766adab77452239b29918eb26f033c0f00b313	2026-08-28T05:26:35Z	The expanded host clip-space path owns its projected command stream while immediate and fetched GPU producers retain the separate window_space_ib through composition, reset, destruction, resubmission, and failure tests
PRRT_kwDOR3YK5M6XkBzu	af766adab77452239b29918eb26f033c0f00b313	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:33:17Z	PR 1978 renames the delivery-route include, types, resolver, and enumerators while leaving the six-plane clipping functions, clip call, and public-surface clipping oracle unchanged; its fresh release r300 and r3v suites reported 347 passes, 40 expected failures, zero failures, and 25 skips
PRRT_kwDOR3YK5M6XJkcb	292c0318de096554d204725077710d177a3196f2	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:40:43Z	Later Makefile additions shift the release qualification target from lines 3794-3803 to 3822-3831 without changing its bytes; clean, configure, build, test, and install still propagate REPRODUCIBLE_RUN=1 with the declared TOPSRC and BUILD_ROOT
PRRT_kwDOR3YK5M6XgW3D	ba9456059bb308b499b8940148d78b806adf67fc	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:40:43Z	The permanent-binary classifier, consumer, wait loop, and public-surface calibration are byte-identical at their current locators; submission still waits before deferred execution and consumes permanent binary waits before signaling, and PR 1978 reports zero failures across the release r300 and r3v suites
PRRT_kwDOR3YK5M6YiMuz	292c0318de096554d204725077710d177a3196f2	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:40:43Z	PR 1978 updates the native README for Vulkan-owned SPIR-V and delivery-route paths while leaving the retired hybrid-compute environment variable and compatibility helper absent from live code and documentation
PRRT_kwDOR3YK5M6ZIGc4	af766adab77452239b29918eb26f033c0f00b313	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:40:43Z	PR 1978 moves the route policy and calibration from common to Vulkan and renames their symbols; the matrix still assigns CLIP to CPU and host-model delivery and WINDOW to immediate and fetched GPU producers, and the release r300 and r3v suites report zero failures
PRRT_kwDOR3YK5M6ZIGdC	ba9456059bb308b499b8940148d78b806adf67fc	813f5899cd3d315aa4c84213e5be5101fc03f698	2026-08-28T06:40:43Z	The Vulkan-owned resolver still defaults to CLIP and assigns WINDOW only in explicit immediate and fetched GPU branches; the PR 1978 ownership move does not revive the retired all-routes census
PRRT_kwDOR3YK5M6XgcYX	af766adab77452239b29918eb26f033c0f00b313	23003871b2dd06b940512aade2f283c45e1e804a	2026-08-28T09:05:23Z	The Flat two-draw harness adds and fully restores an isolated six-record fixture while preserving relocation and completion failure checks before deferred target mutation
PRRT_kwDOR3YK5M6XkBzu	813f5899cd3d315aa4c84213e5be5101fc03f698	23003871b2dd06b940512aade2f283c45e1e804a	2026-08-28T09:05:23Z	Flat post-vertex lowering changes CPU varying replication while six-plane homogeneous clipping finite projection interpolation and containment checks remain intact
PRRT_kwDOR3YK5M6YiMuz	813f5899cd3d315aa4c84213e5be5101fc03f698	23003871b2dd06b940512aade2f283c45e1e804a	2026-08-28T09:05:23Z	Shader-interface documentation extends the native README while the retired hybrid-compute opt-in remains absent from code and documentation
PRRT_kwDOR3YK5M6ZIGc4	813f5899cd3d315aa4c84213e5be5101fc03f698	23003871b2dd06b940512aade2f283c45e1e804a	2026-08-28T09:05:23Z	Flat lowering excludes its CPU route from the R2VB host model while immediate and fetched GPU-producer WINDOW routing retains a single viewport transform
PRRT_kwDOR3YK5M6WqAMl	ba9456059bb308b499b8940148d78b806adf67fc	f3b2b5d6a976e3443c50aa646e431fc5aabb4f74	2026-09-03T12:00:00Z	The multiline residue parser shifts the multiset comparison from lines 70-100 to lines 105-130 while remaining.remove(line) still retires one expected occurrence per observed record; the calibration keeps four arms and swaps the foreign-vendor known-bad for a multiline-identity known-bad
PRRT_kwDOR3YK5M6XtZQF	2c9aea7e2b14ff97cc9598c4c674d27c82b97aba	9b3b84fb94533002d6008e1f97d64e6c5c70c48d	2026-09-03T13:00:00Z	The source-authority table advances the active package row to radeon-custom 0.8.13-1 and still names its package commit, recipe tree, PKGBUILD blob, and source-identity blob before the signed Linux source objects that recipe consumes
PRRT_kwDOR3YK5M6XtZQI	2c9aea7e2b14ff97cc9598c4c674d27c82b97aba	9b3b84fb94533002d6008e1f97d64e6c5c70c48d	2026-09-03T13:00:00Z	The source-authority table advances the recipe axis and records the open deployment drift while the parked-device row still pins the 0.6-1 parked-entry bundle with its retaining commit, outcome SHA-256, and hash-ledger SHA-256
