frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
terakan-warmup-submit-error-propagation-5M59POaa	P1	terakan	terakan-warmup-submit-error-propagation	terakan_fix_ac_warmup.c:429-459 and terakan_queue.c:829-848 propagate failure and mark loss	fixed-on-main	Does current main still exhibit terakan-warmup-submit-error-propagation?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_fix_ac_warmup.c;src/amd/terascale/vulkan/terakan_queue.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch denominator proof	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	1	PRRT_kwDOR3YK5M59POaa	1	2026-04-23T22:01:29Z	false	src/amd/terascale/vulkan/terakan_fix_ac_warmup.c	452	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1#discussion_r3134163320	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-wide-phi-chain-cap-diagnostic-5M6B3HBy	unbadged	terakan	terakan-wide-phi-chain-cap-diagnostic	terakan_shader.c:1029-1119 records the 16-chain cap and emits the debug diagnostic	fixed-on-main	Does current main still exhibit terakan-wide-phi-chain-cap-diagnostic?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_shader.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 1 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	2	PRRT_kwDOR3YK5M6B3HBy	3	2026-05-13T18:58:36Z	false	src/amd/terascale/vulkan/terakan_shader.c	836	sourcery-ai	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/3#discussion_r3236754474	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-wide-phi-selector-opt-in-provenance-5M6B3JDJ	P1	terakan	terakan-wide-phi-selector-opt-in-provenance	terakan_shader.c:652-655 uses presence gating and :752-766 selects the first same-divisor umod	actionable	Does current main still exhibit terakan-wide-phi-selector-opt-in-provenance?	Require exact =1 opt-in and selector provenance; reject unrelated same-divisor umod in a NIR mutant	offline-build-test	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_shader.c	GitHub GraphQL reviewThreads plus source-history audit	focused source contract and unit test	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 2 remains stable	Merge the mechanism fix and focused tests; synchronize main; resolve the exact ID; re-query resolved	A focused mutant or current-main path still violates terakan-wide-phi-selector-opt-in-provenance	merged-review-thread-closure-batch-0001	3	PRRT_kwDOR3YK5M6B3JDJ	3	2026-05-13T19:00:46Z	false	src/amd/terascale/vulkan/terakan_shader.c	983	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/3#discussion_r3236765683	requires-change		unresolved
terakan-fp64-ftz-property-comment-alignment-5M6B41Km	unbadged	terakan	terakan-fp64-ftz-property-comment-alignment	terakan_physical_device.c:1071-1075 aligns the FP64 FTZ prose with the false property	fixed-on-main	Does current main still exhibit terakan-fp64-ftz-property-comment-alignment?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 3 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	4	PRRT_kwDOR3YK5M6B41Km	8	2026-05-13T20:51:11Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	987	sourcery-ai	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/8#discussion_r3237374677	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-denorm-independence-property-consistency-5M6B42N9	P2	terakan	terakan-denorm-independence-property-consistency	terakan_physical_device.c:1053-1078 reports INDEPENDENCE_ALL with explicit FP16 and FP64 flags	fixed-on-main	Does current main still exhibit terakan-denorm-independence-property-consistency?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 4 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	5	PRRT_kwDOR3YK5M6B42N9	8	2026-05-13T20:52:27Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	967	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/8#discussion_r3237380527	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-r9xx-fp64-capability-gate-5M6B5FdB	P1	terakan	terakan-r9xx-fp64-capability-gate	terakan_physical_device.c:540-545 gates shaderFloat64 off on R9xx	fixed-on-main	Does current main still exhibit terakan-r9xx-fp64-capability-gate?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 5 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	6	PRRT_kwDOR3YK5M6B5FdB	9	2026-05-13T21:09:39Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	539	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/9#discussion_r3237464177	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-relaxed-extended-instruction-feature-bit-5M6B5FdE	P2	terakan	terakan-relaxed-extended-instruction-feature-bit	terakan_physical_device.c:966-974 sets the extension and its feature bit together	fixed-on-main	Does current main still exhibit terakan-relaxed-extended-instruction-feature-bit?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 6 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	7	PRRT_kwDOR3YK5M6B5FdE	9	2026-05-13T21:09:39Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	933	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/9#discussion_r3237464181	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
build-profile-isolated-install-prefix-5M6B6JPg	P1	build-infra	build-profile-isolated-install-prefix	build-infra/Makefile:121-126 derives the default prefix from the profile	fixed-on-main	Does current main still exhibit build-profile-isolated-install-prefix?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	build-infra/Makefile	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 7 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	8	PRRT_kwDOR3YK5M6B6JPg	10	2026-05-13T22:35:57Z	false	build-infra/Makefile	37	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/10#discussion_r3237839115	fixed	96d38e1d40d871c7c658abcb88df7e7813c81e35	unresolved
terakan-central-descriptor-cap-5M6B6RIa	unbadged	terakan-descriptor	terakan-central-descriptor-cap	terakan_limits.h:49 owns TERAKAN_MAX_PER_SET_DESCRIPTORS and all consumers use it	fixed-on-main	Does current main still exhibit terakan-central-descriptor-cap?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_limits.h	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 8 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	9	PRRT_kwDOR3YK5M6B6RIa	11	2026-05-13T22:48:34Z	false	src/amd/terascale/vulkan/terakan_descriptor_set_layout.c	557	sourcery-ai	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/11#discussion_r3237883680	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
terakan-layout-support-create-parity-5M6B6RjW	P1	terakan-descriptor	terakan-layout-support-create-parity	terakan_descriptor_set_layout.c:318-324,823-831 shares the support predicate with creation	fixed-on-main	Does current main still exhibit terakan-layout-support-create-parity?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_descriptor_set_layout.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 9 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	10	PRRT_kwDOR3YK5M6B6RjW	11	2026-05-13T22:49:06Z	false	src/amd/terascale/vulkan/terakan_descriptor_set_layout.c	557	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/11#discussion_r3237886112	fixed	7ac62205eb882df42462d849cc549086b59227ea	unresolved
