frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
merge-subject-suffix-policy-retirement	P1	governance	merge-subject-suffix-policy-retirement	The reviewed merge-suffix paragraph is absent, and the current durable-naming rules express mechanism-only subjects without its contrast and negation structure	closed	Does merged main still exhibit merge-subject-suffix-policy-retirement?	Inspect current commit-subject and owned-origin publication rules for the retired suffix paragraph	offline-source-history	mesa-26-gororoba	AGENTS.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch denominator proof	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Actor-dependent or absence-framed merge-suffix guidance returns as a load-bearing rule	merged-review-thread-closure-batch-0005	1	PRRT_kwDOR3YK5M6Tw9uC	1194	2026-07-25T15:59:22Z	false	AGENTS.md	653	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469340	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	resolved
merge-subject-actor-policy-retirement	P1	governance	merge-subject-actor-policy-retirement	The actor-dependent merge-suffix distinction is absent; current policy assigns durable identity by mechanism and confines forge workflow state to metadata	closed	Does merged main still exhibit merge-subject-actor-policy-retirement?	Search current publication guidance for actor-dependent commit-subject remediation	offline-source-history	mesa-26-gororoba	AGENTS.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 1 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current subject policy again makes an author, model, or forge identity control remediation	merged-review-thread-closure-batch-0005	2	PRRT_kwDOR3YK5M6Tw9uE	1194	2026-07-25T15:59:22Z	false	AGENTS.md	653	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469342	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	resolved
agents-commit-subject-prefix	P1	governance	agents-commit-subject-prefix	Merged guidance history uses the agents component prefix and the current rule requires mechanism-centered component identity in commit subjects	closed	Does merged main still exhibit agents-commit-subject-prefix?	Inspect the successor guidance commit subject and current durable-name policy	offline-source-history	mesa-26-gororoba	AGENTS.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 2 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A new guidance commit lands with no searchable component identity	merged-review-thread-closure-batch-0005	3	PRRT_kwDOR3YK5M6Tw9uF	1194	2026-07-25T15:59:23Z	false	AGENTS.md	653	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469344	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	resolved
amd-vulkan-driver-scope-description	P2	governance	amd-vulkan-driver-scope-description	AGENTS.md still calls Terakan and R3V both Vulkan drivers although src/amd/vulkan is the RADV root	actionable	Does merged main still exhibit amd-vulkan-driver-scope-description?	Make the fork-specific scope explicit or include RADV in the AMD Vulkan root description	offline-source-history	mesa-26-gororoba	AGENTS.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 3 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A reader can still infer that Terakan and R3V are Mesa's only AMD Vulkan drivers	merged-review-thread-closure-batch-0005	4	PRRT_kwDOR3YK5M6TxVhn	1196	2026-07-25T17:07:35Z	false	AGENTS.md	1058	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1196#discussion_r3650605592	requires-change		unresolved
headless-gl-target-render-node-identity	P1	hardware-runner	headless-gl-target-render-node-identity	The GBM procedure still selects renderD128 without binding it to the target PCI device or verifying the renderer	actionable	Does merged main still exhibit headless-gl-target-render-node-identity?	Resolve or require the target render node and reject a GBM renderer identity mismatch	offline-source-history	mesa-26-gororoba	headless-hardware-gl-runner.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 4 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A multi-GPU host can produce accepted evidence from a non-target render node	merged-review-thread-closure-batch-0005	5	PRRT_kwDOR3YK5M6TxcMU	1198	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	17	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643173	requires-change		unresolved
headless-xorg-config-ownership	P2	hardware-runner	headless-xorg-config-ownership	The X path still names a glamor.conf file without supplying or identifying an applicable repository-owned configuration	actionable	Does merged main still exhibit headless-xorg-config-ownership?	Bind the launch command to a tracked configuration whose scope matches the documented hosts	offline-source-history	mesa-26-gororoba	headless-hardware-gl-runner.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 5 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	A fresh checkout requires the operator to invent the Xorg configuration	merged-review-thread-closure-batch-0005	6	PRRT_kwDOR3YK5M6TxcMY	1198	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	31	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643177	requires-change		unresolved
headless-piglit-privilege-separation	P1	hardware-runner	headless-piglit-privilege-separation	The dmesg guidance still permits an interpretation that runs Piglit under sudo and loses the selected Mesa environment	actionable	Does merged main still exhibit headless-piglit-privilege-separation?	Keep test execution unprivileged and define a narrow privileged dmesg capture path	offline-source-history	mesa-26-gororoba	headless-hardware-gl-runner.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 6 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	The documented flow can execute Piglit as root or without its intended loader variables	merged-review-thread-closure-batch-0005	7	PRRT_kwDOR3YK5M6TxcMa	1198	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	51	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643179	requires-change		unresolved
headless-display-manager-session-survival	P1	hardware-runner	headless-display-manager-session-survival	The shutdown sequence does not require an SSH or text-VT control session before stopping the display manager	actionable	Does merged main still exhibit headless-display-manager-session-survival?	Require and verify an independent operator session with a retained restoration command	offline-source-history	mesa-26-gororoba	headless-hardware-gl-runner.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 7 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	Stopping the display manager can still terminate the shell that must launch and restore the test session	merged-review-thread-closure-batch-0005	8	PRRT_kwDOR3YK5M6TxcMe	1198	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	26	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643184	requires-change		unresolved
headless-xorg-pid-scoped-teardown	P2	hardware-runner	headless-xorg-pid-scoped-teardown	The teardown still uses an unanchored pkill command instead of the PID created by the documented Xorg launch	actionable	Does merged main still exhibit headless-xorg-pid-scoped-teardown?	Capture the launched Xorg PID and signal only that process with an explicit wait	offline-source-history	mesa-26-gororoba	headless-hardware-gl-runner.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 8 remains stable	Implement the mechanism; pass focused checks; merge to main; re-query unresolved; resolve exact ID; re-query resolved; record ledger row	Teardown can match an unrelated X server or its invoking command	merged-review-thread-closure-batch-0005	9	PRRT_kwDOR3YK5M6TxcMh	1198	2026-07-25T17:32:15Z	false	headless-hardware-gl-runner.md	57	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643187	requires-change		unresolved
project-prose-emoji-scope-policy	P2	governance	project-prose-emoji-scope-policy	The reviewed all-checked-in-text claim was replaced by a project-authored documentation rule that preserves functional symbols and upstream content	closed	Does merged main still exhibit project-prose-emoji-scope-policy?	Inspect the current emoji boundary and its preserved-content clauses	offline-source-history	mesa-26-gororoba	AGENTS.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 9 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current policy again declares every tracked upstream and functional text byte emoji-free	merged-review-thread-closure-batch-0005	10	PRRT_kwDOR3YK5M6TxcMj	1198	2026-07-25T17:32:15Z	false	AGENTS.md	779	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643189	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	resolved
